State,Locations,Latitude,Longitude
CA,"San Fransisco, CA",37.7749295,-122.4194155
MO,"Kansas City, MO",38.849347,-94.434178
KS,"Overland Park, KS",38.9822282,-94.6707917
MO,"Springfield, MO",37.2089572,-93.2922989
MO,"Branson, MO",36.6436731,-93.2185144
MO,"St. Louis, MO",38.6270025,-90.1994042
AR,"Fayetteville, AR",36.0625795,-94.1574263
MO,"Vicksburg, MS",32.3526456,-90.877882
LA,"New Orleans, LA",29.9510658,-90.0715323
AL,"Mobile, AL",30.6953657,-88.0398912
AL,"Montgomerey, AL",32.3668052,-86.2999689
AL,"Birmingham, AL",33.5206608,-86.80249
TN,"Nashville, TN",36.1626638,-86.7816016
KY,"Paducah, KY",37.0833893,-88.6000478
IL,"Chicago, IL",41.8781136,-87.6297982
IA,"Des Moines, IA",41.6005448,-93.6091064
IA,"Iowa City, IA",41.6611277,-91.5301683
IA,"Clear Lake, IA",43.1435564,-93.3788108
IA,"Cedar Rapids, IA",41.9778795,-91.6656232
MN,"Minneapolis, MN",44.977753,-93.2650108
WI,"Milwaukee, WI",43.0389025,-87.9064736
NE,"Omaha, NE",41.2523634,-95.9979883
KS,"Wichita, KS",37.6871761,-97.330053
KS,"Topeka, KS",39.0558235,-95.6890185
KS,"Lawrence, KS",38.9716689,-95.2352501
OK,"Tulsa, OK",36.1539816,-95.992775
TX,"Waco, TX",31.549333,-97.1466695
AZ,"Phoenix, AZ",33.4483771,-112.0740373
NM,"Santa Fe, NM",35.6869752,-105.937799
NV,"Las Vegas, NV",36.1699412,-115.1398296
CA,"San Diego, CA",32.715738,-117.1610838
CA,"Los Angeles, CA",34.0522342,-118.2436849
Mexico,"Nogales, Mexico",31.3011855,-110.9381047
CA,"Pasadena, CA",34.1477849,-118.1445155
WA,"Seattle, WA",47.6062095,-122.3320708
WA,"Olympia, WA",47.0378741,-122.9006951
MI,"Detroit, MI",42.331427,-83.0457538
OH,"Toledo, OH",41.6639383,-83.555212
IN,"Great Bend, IN",38.3644567,-98.7648073
WV,"Harpers Ferry, WV",39.3253786,-77.7388818
GA,"Gainesville, GA",34.2978794,-83.8240663
SC,"Myrtle Beach, SC",33.6890603,-78.8866943
FL,"Orland, FL",28.5383355,-81.3792365
FL,"Miami, FL",25.7616798,-80.1917902
FL,"Tampa, FL",27.950575,-82.4571776
FL,"St. Petersburg, FL",27.7518284,-82.6267345
MO,"Columbia, MO",38.9517053,-92.3340724
NC,"Charlotte, NC",35.2270869,-80.8431267
VA,"Richmond, VA",37.5407246,-77.4360481
VA,"Great Falls, VA",38.9981652,-77.2883157
DC,"Washington, DC",38.9071923,-77.0368707
DE,"Rehoboth Beach, DE",38.7209454,-75.0760137
VA,"Alexandria, VA",38.8048355,-77.0469214
MD,"Baltimore, MD",39.2903848,-76.6121893
MD,"Frederick, MD",39.4142688,-77.4105409
PA,"Mill Run, PA",39.9511859,-79.454481
PA,"Philadelphia, PA",39.9525839,-75.1652215
NJ,"Tom's River, NJ",39.9537358,-74.1979458
NJ,"Newark, NJ",40.735657,-74.1723667
NY,"Long Island, NY",40.789142,-73.134961
NY,"Manhattan, NY",40.7830603,-73.9712488
NY,"Brooklyn, NY",40.6781784,-73.9441579
NY,"Queens, NY",40.7282239,-73.7948516
CT,"New Haven, CT",41.308274,-72.9278835
RI,"Providence, RI",41.8239891,-71.4128343
NY,"Bedford, NY",41.204262,-73.6437397
NY,"Lake Placid, NY",44.2794911,-73.9798713
MA,"Plymoth, MA",41.9584457,-70.6672621
MA,"Boston, MA",42.3600825,-71.0588801
MA,"Cape Cod, MA",41.6687897,-70.2962408
MA,"Waltham, MA",42.3764852,-71.2356113
NH,"Concord, NH",43.2081366,-71.5375718
VT,"Norwich, VT",43.7153482,-72.307869
ME,"Portland, ME",43.661471,-70.2553259
Canada,"Quebec City, Canada",46.8138783,-71.2079809
Canada,"Montreal, Canada",45.5016889,-73.567256
Canada,"Ottawa, Canada",45.4215296,-75.6971931
Canada,"Toronto, Canada",43.653226,-79.3831843
Canada,"Niagara Falls, Canada",43.0895577,-79.0849436
Bahamas,"Freeport, Bahamas",26.5416093,-78.6455475
Tanzania,"Mufindi, Tanzania",-8.477249,35.3027226
Tanzania,"Dar es Salaam, Tanzania",-6.792354,39.2083284
Ethiopia,"Addis Ababa, Ethiopia",8.9806034,38.7577605
UAE,"Dubai, United Arab Emirates",25.2048493,55.2707828
Netherlands,"Amsterdam, Netherlands",52.3702157,4.8951679
